ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Year
4027,,Peru,Bolivia,-69.094,-20.3461,577782.56,2013-02-08,2013-02-12,News,31,2400,Heavy Rain,2.0,2013
4028,FL-2013-000017-PNG,Papua New Guinea,,144.477,-5.88736,245461.58,2012-12-01,2013-02-12,News,0,500,Heavy Rain,1.0,2012
4029,,Indonesia,,100.565,0.733498,21653.62,2013-02-16,2013-02-18,News,0,3452,Heavy Rain,1.0,2013
4030,,Indonesia,,124.508,1.0256,28873.67,2013-02-16,2013-02-18,News,17,0,Heavy Rain,1.0,2013
4032,,Indonesia,,104.265,-2.41871,4201.51,2013-02-20,2013-03-04,News,0,1000,Heavy rain,1.5,2013
4035,,Thailand,,101.308,6.46589,9339.75,2013-02-25,2013-03-04,News,0,130,Heavy Rain,1.0,2013
4036,,Macedonia,,21.5776,42.0408,3700.4,2013-02-25,2013-03-04,News,1,1200,Heavy Rain,1.0,2013
4037,,Namibia,,22.6244,-17.8146,100905.17,2013-03-01,2013-03-17,News,0,10000,Heavy Rain,1.0,2013
4038,,Spain,,-2.94021,37.8967,12282.15,2013-03-13,2013-03-17,News,0,200,Heavy Rain,1.0,2013
4039,,France,,2.54269,43.2579,5910.43,2013-03-09,2013-03-17,News,1,1200,Heavy Rain,1.0,2013
4040,,Portugal,,-25.5351,37.8419,2985.69,2013-03-14,2013-03-17,News,0,30,Heavy Rain,1.0,2013
4041,,Peru,Bolivia,-70.9926,-16.5124,740437.68,2013-03-10,2013-03-17,News,0,3000,Heavy Rain,1.5,2013
4043,,Kenya,Uganda,36.718,2.46174,73170.41,2013-03-28,2013-04-29,News,63,18633,Heavy Rain,1.5,2013
4044,,South Sudan,,31.2168,6.06426,215662.54,2013-03-25,2013-04-03,News,0,12000,Heavy Rain,1.5,2013
4047,,Albania,,19.6182,42.0043,3304.87,2013-03-15,2013-04-12,News,0,2800,Heavy Rain,1.0,2013
4048,,Somalia,,45.7365,3.38671,27293.22,2013-04-05,2013-04-29,News,0,4000,Heavy Rain,1.0,2013
4049,,Saudi Arabia,Oman,52.3938,22.7624,814307.06,2013-04-25,2013-05-16,News,0,0,Heavy Rain,1.0,2013
4050,,USA,,-88.6401,38.8278,493136.77,2013-04-22,2013-04-29,News,5,300,Heavy Rain,1.5,2013
4055,,Somalia,,43.6553,2.16964,243476.26,2013-05-01,2013-05-16,News,7,50000,Heavy Rain,2.0,2013
4060,,USA,,-98.8879,28.899,33907.85,2013-05-25,2013-05-28,News,3,300,Heavy Rain,2.0,2013
4061,,USA,,-93.3867,41.9211,123500.44,2013-05-25,2013-06-03,News,0,400,Heavy Rain,1.0,2013
4063,,Germany,Czech Republic,12.1089,49.1358,241203.7,2013-05-28,2013-06-18,News,8,3000,Heavy Rain,2.0,2013
4066,,New Zealand,,170.669,-44.3589,42497.49,2013-06-15,2013-06-18,News,0,0,Heavy Rain,1.5,2013
4068,,Canada,,-109.647,51.2434,307926.47,2013-06-20,2013-06-27,News,3,100000,Heavy Rain,2.0,2013
4071,,China,,104.022,30.4563,419827.15,2013-07-05,2013-07-15,News,200,100000,Heavy Rain,1.5,2013
4074,,North Korea,,126.319,39.6151,21695.38,2013-07-10,2013-07-15,News,2,760,Heavy Rain,1.0,2013
4075,,Paraguay,,-57.6536,-24.146,131222.52,2013-07-04,2013-07-15,News,0,52000,Heavy Rain,1.5,2013
4076,,Kenya,,35.2088,1.66076,9047.26,2013-08-05,2013-08-07,News,0,5000,Heavy Rain,1.0,2013
